Comment,Description,Designator,Footprint,Quantity,Supplier Part Number 1,Supplier Stock 1,Supplier Unit Price 1,Manufacturer,PartNumber,Supplier 1
,,,,,,,,,,
Yellow,LED YELLOW DIFFUSED 0805 SMD,D4,0805 Polarized,1,475-2560-1-ND,61092,0.29,OSRAM Opto Semiconductors Inc.,LY R976-PS-36,Digi-Key
Vehicle Interface Cable Connector,"Receptacle Assembly, 15 Position, Right Angle",J1,DSUB1.385-2H15,1,609-1498-ND,2024,2.3,Amphenol FCI,D15S33E4GV00LF,Digi-Key
Varistor 42V,VARISTOR CAP FEEDTHRU 18V 0805,TVS1,Transfeed,1,478-2485-1-ND,9118,0.62,AVX,V2F118A400Y2EDP,Digi-Key
Varistor 24V,VARISTOR CAP FEEDTHRU 14V 0805,"TVS2, TVS3",Transfeed,2,478-2484-1-ND,443,0.79,AVX,V2F114C300Y1FDP,Digi-Key
UX60SC-MB-5S8,"USB - mini B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole",USB1,USB Mini UX60S,1,H11589CT-ND,7388,1.05,Hirose,UX60SC-MB-5S8,Digi-Key
SN75HVD08DR,IC RS485 TXRX 3/5V 8-SOIC,U4,SOIC-SN8_N,1,296-37893-1-ND,5465,3.97,Texas Instruments,SN75HVD08DR,Digi-Key
SMA6J,TVS DIODE 20VWM 36.8VC SMA,Z1,SMA,1,SMA6J24CA-TPMSCT-ND,9271,0.42,Micro Commercial Co,SMA6J24CA-TP,Digi-Key
SLP3,"Light Pipe Single Clear Rigid Round with Domed Top, 3mm Board Mount, Press Fit, Right Angle","LP1, LP2, LP3, LP4",PCBComponent_1,4,492-2517-ND,1344,0.64,Bivar Inc.,SLP3-150-250-R,Digi-Key
Red,Red 633nm LED Indication - Discrete 2V 0805 (2012 Metric),D2,0805 Polarized,1,475-1278-1-ND,121119,0.29,OSRAM Opto Semiconductors Inc.,LS R976-NR-1,Digi-Key
PTS830,Tactile Switch SPST-NO Top Actuated Surface Mount,SW1,Switch PTS830,1,CKN10587CT-ND,8312,0.51,C & K Components,PTS830GM140 SMTR LFS,Digi-Key
PTC RESTTBLE 0.75A,PTC RESTTBLE 0.75A 33V CHIP 1812,PTC1,1812,1,507-1765-1-ND,139296,0.21,Bel Fuse Inc.,0ZCG0075BF2B,Digi-Key
PB400,"Pushbutton Switch DPST-NO Standard Through Hole, Right Angle","SW20, SW21",PB400,2,EG5548-ND,488,2.05,E-Switch,PB400OAQR1BLK,Digi-Key
OKI-78SR,5V DC/DC Converter (7805 replacement),U1,OKI-78SR,1,811-2692-ND,60012,4.3,Murata Power Solutions Inc.,OKI-78SR-5/1.5-W36H-C,Digi-Key
NUD3124,IC INDCT LOAD DRVR AUTO SOT23,Q1,SOT23_N,1,NUD3124LT1GOSCT-ND,59088,0.41,ON Semiconductor,NUD3124LT1G,Digi-Key
NCV7356D1R2G,"Single Wire CAN Transceiver, 5 to 27 V, 8-Pin SOIC, Pb-Free, Tube",U2,ONSC-SOIC-8-751-07_V,1,NCV7356D1R2GOSCT-ND,2067,1.56,On Semiconductor,NCV7356D1R2G,Digi-Key
NCP1117LPST33,Linear Voltage Regulator IC Positive Fixed Output 3.3V 1A SOT-223,U13,SOT-223,1,NCP1117LPST33T3GOSCT-ND,21488,0.45,On Semiconductor,NCP1117LPST33T3G,Digi-Key
MOCD207R2M,Optoisolator Transistor Output 2500Vrms 2 Channel 8-SO Tall,U12,SOIC-8,1,MOCD207R2MCT-ND,123255,1.03,Fairchild/ON Semiconductor,MOCD207R2M,Digi-Key
MKL02Z32VFG4,"32 Bit Microcontroller, Kinetis L Series Ultra Low Power, ARM Cortex-M0+, 48 MHz, 32 KB, 4 KB, 16",U16,*QFN50P300X300X65-17N,1,IC_MKL02Z32_QFN16,,,NXP USA Inc.,MKL02Z32VFG4,PJRC
MK66FX1M0VMD18,"Kinetis K66: 180MHz Cortex-M4F MCU, 1.2MB Flash, 256KB SRAM, 2xUSB, Ethernet, 144-MAPBGA",U6,*BGA144C100P12X12_1300X1300X170_MK66FX1M0VMD18(Primary),1,568-13335-ND,363,17.65,NXP USA Inc.,MK66FX1M0VMD18,Digi-Key
MCP2558,Microchip CAN FD Transceiver with Silent Mode,"U5, U8, U9",TDFN,3,MCP2558FDT-H/MNYCT-ND,3386,0.81,"Microchip Technology, Microchip",MCP2558FDT-H/MNY,Digi-Key
MCP2517FD,CANbus Controller CAN 2.0 SPI Interface 14-VDFN (4.5x3),U14,SOP14,1,MCP2517FDT-H/JHACT-ND,4862,2.31,Microchip Technology,MCP2517FDT-H/JHA,Digi-Key
MCP2003A-E/SN,"LIN J2602 Transceiver, 8-Pin SOIC, Extended Temperature, Tape and Reel",U7,SOIC-SN8_N,1,MCP2003A-E/SN-ND,2740,0.82,Microchip Technology,MCP2003A-E/SN,Digi-Key
