Comment,Description,Designator,Footprint,Quantity,Supplier Part Number 1,Supplier Stock 1,Supplier Unit Price 1,Manufacturer,PartNumber,Supplier 1
,,,,,,,,,,
Yellow,LED YELLOW DIFFUSED 0805 SMD,D4,0805 Polarized,1,475-2560-1-ND,107964,0.28,OSRAM Opto Semiconductors Inc.,LY R976-PS-36,Digi-Key
Vehicle Interface Cable Connector,"Receptacle Assembly, 15 Position, Right Angle",J1,DSUB1.385-2H15,1,609-1498-ND,2491,2.3,Amphenol FCI,D15S33E4GV00LF,Digi-Key
Varistor 42V,VARISTOR CAP FEEDTHRU 18V 0805,"TVS1, TVS2, TVS3",Transfeed,3,478-2485-1-ND,19004,0.6,AVX,V2F118A400Y2EDP,Digi-Key
UX60SC-MB-5S8,"USB - mini B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole",USB1,USB Mini UX60S,1,H11589CT-ND,6604,1.08,Hirose,UX60SC-MB-5S8,Digi-Key
SN75HVD08DR,IC RS485 TXRX 3/5V 8-SOIC,U4,SOIC-SN8_N,1,296-37893-1-ND,11120,3.86,Texas Instruments,SN75HVD08DR,Digi-Key
SMA6J,TVS DIODE 20VWM 36.8VC SMA,Z1,SMA,1,SMA6J24CA-TPMSCT-ND,7849,0.4,Micro Commercial Co,SMA6J24CA-TP,Digi-Key
SLP3,"Light Pipe Single Clear Rigid Round with Domed Top, 3mm Board Mount, Press Fit, Right Angle","LP1, LP2, LP3, LP4",PCBComponent_1,4,492-2517-ND,1481,0.64,Bivar Inc.,SLP3-150-250-R,Digi-Key
Red,Red 633nm LED Indication - Discrete 2V 0805 (2012 Metric),D2,0805 Polarized,1,475-1278-1-ND,139410,0.28,OSRAM Opto Semiconductors Inc.,LS R976-NR-1,Digi-Key
PTS830,Tactile Switch SPST-NO Top Actuated Surface Mount,SW1,Switch PTS830,1,CKN10587CT-ND,44555,0.62,C & K Components,PTS830GM140 SMTR LFS,Digi-Key
PTC RESTTBLE 0.75A,PTC RESTTBLE 0.75A 33V CHIP 1812,PTC1,1812,1,507-1765-1-ND,101787,0.12,Bel Fuse Inc.,0ZCG0075BF2B,Digi-Key
PB400,"Pushbutton Switch DPST-NO Standard Through Hole, Right Angle","SW20, SW21",PB400,2,EG5548-ND,1826,1.82,E-Switch,PB400OAQR1BLK,Digi-Key
OKI-78SR,5V DC/DC Converter (7805 replacement),U1,OKI-78SR,1,811-2692-ND,22881,4.3,Murata Power Solutions Inc.,OKI-78SR-5/1.5-W36H-C,Digi-Key
